2020-07-21 10:15:46,289 INFO  [org.jboss.modules] (main) JBoss Modules version 1.9.1.Final-redhat-00001
2020-07-21 10:15:46,523 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.11.Final-redhat-00001
2020-07-21 10:15:46,538 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.3.Final-redhat-00001
2020-07-21 10:15:46,570 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: JBoss EAP 7.3.0.GA (WildFly Core 10.1.2.Final-redhat-00001) starting
2020-07-21 10:15:46,975 INFO  [org.wildfly.security] (Host Controller Service Threads - 4) ELY00001: WildFly Elytron version 1.10.4.Final-redhat-00001
2020-07-21 10:15:47,287 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-07-21 10:15:47,334 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2020-07-21 10:15:47,350 INFO  [org.xnio] (MSC service thread 1-5) XNIO version 3.7.7.Final-redhat-00001
2020-07-21 10:15:47,350 INFO  [org.xnio.nio] (MSC service thread 1-5) XNIO NIO Implementation Version 3.7.7.Final-redhat-00001
2020-07-21 10:15:47,412 INFO  [org.jboss.as.patching] (MSC service thread 1-4) WFLYPAT0050: JBoss EAP cumulative patch ID is: base, one-off patches include: none
2020-07-21 10:15:47,428 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-3) WFLYDM0111: Keystore D:\clustering\jboss\domain\configuration\application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2020-07-21 10:15:47,989 INFO  [org.jboss.remoting] (MSC service thread 1-3) JBoss Remoting version 5.0.16.Final-redhat-00001
2020-07-21 10:15:50,111 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=default/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-07-21 10:15:50,126 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-07-21 10:15:50,158 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-07-21 10:15:50,173 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full-ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-07-21 10:15:50,423 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2020-07-21 10:15:57,929 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 000def04 (inbound) of Remoting connection 43664e25 to validation.sls.microsoft.com/127.0.0.1:1839 of endpoint "master:MANAGEMENT" <388adbfb>]
2020-07-21 10:15:57,976 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.0.0.239:9990/management and https://127.0.0.239:-1/management
2020-07-21 10:15:57,976 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.239:9990 and https://127.0.0.239:-1
2020-07-21 10:15:57,976 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: JBoss EAP 7.3.0.GA (WildFly Core 10.1.2.Final-redhat-00001) (Host Controller) started in 12062ms - Started 79 of 82 services (26 services are lazy, passive or on-demand)
2020-07-21 10:15:57,992 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2020-07-21 14:29:09,154 INFO  [org.jboss.as.host.controller] (main) WFLYHC0179: ProcessController has signalled to shut down; shutting down
2020-07-21 14:29:09,164 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 44) WFLYHC0024: Stopping server server-one
2020-07-21 14:29:09,274 INFO  [org.jboss.as.host.controller] (management I/O-2) WFLYHC0027: Unregistering server server-one
2020-07-21 14:29:09,624 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-one
2020-07-21 14:29:09,634 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0050: JBoss EAP 7.3.0.GA (WildFly Core 10.1.2.Final-redhat-00001) stopped in 480ms
